,count,mean,std,min,25%,50%,75%,max
CURRENT (A) mean,46.0,3.145593548113044,0.04404274282488728,3.0426357154000003,3.11298240055,3.1546822267,3.17736049225,3.241733452
CURRENT (A) std,46.0,0.9922503939032339,0.01374613310284272,0.9575342055559244,0.9847924963619699,0.9942749621686207,0.9991272846686652,1.018044642424231
CURRENT (A) max,46.0,6.374224173913042,0.14679389402004817,6.116727999999998,6.3013639999999995,6.357216000000001,6.46952,6.786904
CURRENT (A) rms,46.0,3.2984296151477834,0.0421683304886224,3.20062829075212,3.2722925169564845,3.3042212333657295,3.328801324379696,3.3878938571925143
CURRENT (A) peak_to_peak,46.0,6.546704521739131,0.22492819207656678,5.962008000000001,6.430152000000002,6.544899999999998,6.691086,7.064312000000001
CURRENT (A) skew,46.0,0.009772846613066826,0.021975374689066827,-0.0413871663498164,-0.002453817732952825,0.0095564974342912,0.0273556811648121,0.0488077358379162
CURRENT (A) kurtosis,46.0,-0.319700776730877,0.024353517504875067,-0.3699874632551765,-0.3374567847435895,-0.3178387966421372,-0.30386570839289895,-0.2656148472284809
CURRENT (A) crest_factor,46.0,2.0266309055272846,0.04847982356896975,1.9352701676092277,1.993363653892764,2.0224347139255565,2.0471063928144964,2.157569018951497
CURRENT (A) Frequency Center,46.0,3731.9868346493395,57.42634400531224,3654.939120635378,3682.575737409555,3720.859970413996,3769.333669554174,3862.771309976067
CURRENT (A) Spectrum Area,46.0,1415799.6465766516,36922.9788553929,1326986.5847108073,1397684.4897746793,1415631.042737189,1438080.5051192709,1479207.4766718252
CURRENT (A) Amp @ 1x RPM,46.0,1156.4883613933507,601.9967758139702,236.0928150826542,737.6943664279975,1029.67090098053,1642.8584703097679,2561.9406453885545
CURRENT (A) Amp @ 2x RPM,46.0,1140.4210632227303,687.3613359288129,89.8997148359345,632.0206268221323,1103.426910490925,1347.1691847167235,3276.8842130723087
CURRENT (A) Amp @ 3x RPM,46.0,990.68396508488,552.052255446797,52.504691129849185,575.7173008452905,933.2054734658984,1314.2924292498533,2355.519888763228
